project_name,primary_commodity,status,deposit_type,owner_controller,operator,area_ha,resources_year,location.province,location.country,location.description,location.latitude_dms,location.longitude_dms,location.latitude,location.longitude,technical_economic.since_production,technical_economic.estimated_lom_years,technical_economic.productive_capacity,technical_economic.estimated_annual_production,technical_economic.capex,technical_economic.mining_method,technical_economic.product,by_products,sources_consulted,source_pages,res_Calandrias Norte (open pit)_Ag_g_t,res_Calandrias Norte (open pit)_Ag_kOz,res_Calandrias Norte (open pit)_Au_g_t,res_Calandrias Norte (open pit)_Au_kOz,res_Calandrias Sur (open pit)_Ag_g_t,res_Calandrias Sur (open pit)_Ag_kOz,res_Calandrias Sur (open pit)_Au_g_t,res_Calandrias Sur (open pit)_Au_kOz,res_Cerro Campamento_Ag_g_t,res_Cerro Campamento_Ag_kOz,res_Cerro Campamento_Au_g_t,res_Cerro Campamento_Au_kOz,res_Cerro Campamento_Cu_MLbs,res_Cerro Campamento_pct_Cu,res_Cerro Silla Sur_Ag_g_t,res_Cerro Silla Sur_Ag_kOz,res_Cerro Silla Sur_Au_g_t,res_Cerro Silla Sur_Au_kOz,res_Cerro Silla Sur_Cu_MLbs,res_Cerro Silla Sur_pct_Cu,res_Cerros Taguas_Ag_g_t,res_Cerros Taguas_Ag_kOz,res_Cerros Taguas_Au_g_t,res_Cerros Taguas_Au_kOz,res_Depleted Satellites (open pit)_Ag_g_t,res_Depleted Satellites (open pit)_Ag_kOz,res_Depleted Satellites (open pit)_Au_g_t,res_Depleted Satellites (open pit)_Au_kOz,res_Indicated_Ag_g_t,res_Indicated_Ag_kOz,res_Indicated_Au_g_t,res_Indicated_Au_kOz,res_Inferred_Ag_g_t,res_Inferred_Ag_kOz,res_Inferred_Au_g_t,res_Inferred_Au_kO2,res_Inferred_Au_kOz,res_M&I_Ag_g_t,res_M&I_Ag_kOz,res_M&I_Au_g_t,res_M&I_Au_kO2,res_M&I_Au_kOz,res_Measured_Ag_g_t,res_Measured_Ag_kOz,res_Measured_Au_g_t,res_Measured_Au_kOz,res_Paloma Trend (underground)_Ag_g_t,res_Paloma Trend (underground)_Ag_kOz,res_Paloma Trend (underground)_Au_g_t,res_Paloma Trend (underground)_Au_kOz,res_TOTAL_Ag_g_t,res_TOTAL_Ag_kOz,res_TOTAL_Au_g_t,res_TOTAL_Au_kOz,res_Total_Ag_g_t,res_Total_Au_g_t,res_Total_pct_Pb,res_Total_pct_Zn,res_Zorro (open pit)_Ag_g_t,res_Zorro (open pit)_Ag_kOz,res_Zorro (open pit)_Au_g_t,res_Zorro (open pit)_Au_kOz,rsv_Below US$1800 shell (>1.0ppm AuEq)_Ag_g_t,rsv_Below US$1800 shell (>1.0ppm AuEq)_Au_g_t,rsv_Below US$1800 shell (>1.0ppm AuEq)_pct_Pb,rsv_Below US$1800 shell (>1.0ppm AuEq)_pct_Zn,rsv_Probable_Ag_g_t,rsv_Probable_Ag_kOz,rsv_Probable_Au_g_t,rsv_Probable_Au_kOz,rsv_Probable_Category,rsv_Probable_pct_Zn,rsv_Proven_Ag_g_t,rsv_Proven_Ag_kOz,rsv_Proven_Au_g_t,rsv_Proven_Au_kOz,rsv_US$1800 optimised shell (>0.30 ppm AuEq)_Ag_g_t,rsv_US$1800 optimised shell (>0.30 ppm AuEq)_Au_g_t,rsv_US$1800 optimised shell (>0.30 ppm AuEq)_pct_Pb,rsv_US$1800 optimised shell (>0.30 ppm AuEq)_pct_Zn
Cerro Moro,Gold,Operation,Low Sulphidation Epithermal Style (Au-Ag),Pan American Silver Corp.,Estelar Resources Limited S.A,304167,,Santa Cruz,,Cerro Moro is located in the Santa Cruz province of southern Argentina. Is located approximately 70 kilometer southwest of the port city of Puerto Deseado.,"48° 01' 55"" S","66° 33' 45"" W",-48.031944,-66.5625,2018,3,"1,100 tonnes per day (tpd)",,,Open-Pit &amp; Underground,Gold and silver doré,Silver,"Pan American Silver. Cerro Moro Project Pan American Silver Corp. Reserves and resources June 30, 2025. Yamana Gold. NI 43-101 Technical report Cerro Moro Gold-Silver mine, Santa Cruz province, Argentina. August 26, 2022.",6 | 7 | 8 | 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,6100,5.58,135.1,164,3500,6.85,,145.7,,,,,,277,2200,4.87,39.2,,,,,,,,,,,,,,,,,,,,,282,2900,5.59,57.6,,,223,2100,9.94,92.2,,,,
Cerro Negro,Gold,Operation,Low Sulphidation Epithermal Style (Au-Ag),Newmont Goldcorp,OroPlata S.A. ![img-4.jpeg](img-4.jpeg),26891,,Santa Cruz,,"The Cerro Negro Project is located in the north-west region of the Santa Cruz province, about 345 kilometers by road southwest of the coastal city of Comodoro Rivadavia.","46° 54' 41.60"" S","70° 14' 30.63"" W",-46.911556,-70.241842,2014,11,4.000 tpd,,,Underground,Gold and silver doré,Silver,"Newmont Corp. Cerro Negro Project | Newmont Corp. Resources and Reserves 2025 | Gold Corp. Cerro Negro Operations Santa Cruz province, Argentina, NI 43-101 Technical Report, December 31, 2015",10 | 11 | 12 | 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.54,1700,5.42,300,25.7,6300,5.1,,1200,,,,,,12.61,500,3.73,200,,,,,,,,,,,,,,,,,,,,,66.2,14400,10.38,2300,,,84.41,5900,1120,800,,,,
Casposo,Gold,Operation,Low Sulphidation Epithermal Style (Au-Ag),Austral Gold Limited,Casposo Argentina Ltd. (Suc. Argentina),52055,,San Juan,,"The Mine Casposo is situated approximately 150 kilometer northwest of San Juan City, in the Department of Calingasta, San Juan Province, Argentina.",,,,,,6,"1,000 tpd",,,Open pit,Gold and silver doré,Silver,"Austral Goldcorp. Casposo Project | Austral Goldcorp. Inversor presentation. December 2025 | Austral Goldcorp. Technical Report on the Casposo Mine Calingasta Department, San Juan Province, Argentina. Report for NI 43-101. October 2025",14 | 15 | 16 | 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54,381,7.52,,42,59.91,4349,1.48,,107,,,,,,,,,,,,,,,,,,,,,,,,,58.52,3276,1.31,80,,,,,,,,,,
Cerro Vanguardia,Gold,Operation,Low Sulphidation Epithermal Style (Au-Ag),AngloGold Ashanti plc (92.5%) Fomicruz S.E. (7.5%),Cerro Vanguardia S.A.,51400,,Santa Cruz,,"The Cerro Vanguardia mine in the Santa Cruz province. Is located approximately 110 kilometers, in a straight line, northwest of Puerto de San Julián.","48° 23' 28"" S","68° 15' 51"" W",-48.391111,-68.264167,1998,5,"3,500 tpd",,,Open-Pit &amp; Underground,Gold and silver doré,Silver,"Anglo Gold Ashanti. Cerro Vanguardia Project | Anglo Gold Ashanti. Mineral Resource and Mineral Reserve Report at 31 december 2024 | Anglo Gold Ashanti. Cerro Vanguardia - Americas, Operational profile",18 | 19 | 20 | 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.96,25490,2.53,1010,91.04,11670,3.01,,390,,,,,,50.04,11290,2.48,560,,,,,,,,,,,,,,,,,,,,,69.52,12560,10.5,420,,,61.07,4770,3.16,250,,,,
Don Nicolás-Las Calandrias,Gold,Operation,High,Cerrado Gold Inc. / Minera Don Nicolás S.A.,Cerrado Gold Inc. / Minera Don Nicolás S.A.,333400,,Santa Cruz,,The is located in Santa Cruz province. Is located approximately 100 km from the South Atlantic Ocean. Elevations at the Project vary between 120 m.a.s.l.,"47° 56' 01"" S","67° 27' 06"" W",-47.933611,-67.451667,2019,5,"1,000 tpd",,,Open-Pit &amp; Underground,Gold and silver doré,Silver,"GeoEstima Spa. Technical Report on the Preliminary Economic Assessment of the Minera Don Nicolás gold Project, Santa Cruz, Argentina, September 19, 2024. | Cerrado Gold Inc. Don Nicolás Project | Cerrado Gold Inc. Driving Substantial Cash Flow With Limited Dilutio. January 2026.",22 | 23 | 24 | 25,23.12,58.57,14.94,37.85,15.34,6328.98,0.97,400.72,,,,,,,,,,,,,,,,,0,0,1.96,2.83,,,,,,,,,,,,,,,,,,,17.38,153.56,4.34,38.36,15.26,6592.92,1.13,490.34,,,,,7.84,51.81,1.6,10.58,,,,,,,,,,,,,,,,,,
Farallón Negro,Gold,Operation,Low Sulphidation Epithermal Style (Au-Ag),YMAD,YMAD,34400,,Catamarca,,"The Farallón Negro deposit is located in the Hualfin District, Belén Department, Catamarca Province, at an average altitude of 2,600 m.a.s.l. It is located approximately 400 kilometers from the city of San Fernando del Valle de Catamarca.","27° 15' 23"" S","66° 40' 4"" W",-27.256389,-66.667778,1978,1,,,,Underground,Gold and silver doré,Silver,,26 | 27 | 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gualcamayo - Carbonatos Profundos,Gold,Operation,Skarn Au,Eris LLC,Minas Argentinas S.A,,,San Juan,,"The Gualcamayo project located in the North of the province of San Juan, Argentina.","29° 41' 45.4"" S","68° 37' 44.1"" W",-29.695944,-68.628917,,,149 kOz Au,,,Open-Pit &amp; Underground,Gold and silver doré,Copper,"Minas Argentinas. Gualcamayo Project | Mineros. Earnings Call Q1 2023. May 9, 2023",29 | 30 | 31 | 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,376,,,,3.29,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindero,Gold,Operation,Porphyry Au,Fortuna Mining Corp.,Mansfield Minera S.A,3500,,Salta,,"Lindero mine is located in the Argentina Puna with a minimum elevation of approximately 3,500 to 4,000 m.a.s.l. The mine is located $260\mathrm{km}$ due west of Salta City.",,,,,2020,8,"18,750 tpd",,,Open-Pit,Gold doré,Copper,"Fortuna Mining Corp. Lindero Project | Fortina Silver Mines Inc., Fortuna Silver Mines Inc.: Lindero Mine and Arizaro Project, Salta | Province, Argentina Technical Report. December 31, 2022 | Fortuna Mining Corp. Investor Presentation. January 23, 2025 | Fortuna Mining Corp. Reserves and Resources 2024",33 | 34 | 35 | 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,0.46,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,0.56,,,,,
Veladero,Gold,Operation | Ampliation,High,Barrick Mining Corporation,Minera Andina Del Sol,304167,,San Juan,,"The Veladero mine is located in San Juan Province, Argentina. The property is located approximately 374 kilometers northwest of the city of San Juan, at elevations of 4,000 to 4,850 m.a.s.l.",,,,,2005,7,,,,Open-Pit,Gold and silver doré,Silver,"Barrick Gold Corp. Veladero Project | Barrick Gold Corp. Technical Report on the Veladero Mine, San Juan province, Argentina. NI 43-101 Report. March 19, 2018. | Barrick Gold Corp. Resources and Reserves 2024",37 | 38 | 39 | 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.91,38000,0.85,1800,15.08,8200,0.5,,290,,,,,,13.08,11000,0.65,530,,,,,,,,,,,,,,,,,,,,,13.93,22000,0.68,1100,,,12.92,10000,0.66,510,,,,
Calcatreu,Gold,Construction,Low Sulphidation Epithermal Style (Au-Ag),Patagonia Gold.,Minera Calcatreu SAU.,70268,,Río Negro,,"The Calcatreu Project is located in the center-west region of the Rio Negro province, approximately 85 km south of Ingeniero Jacobacci city.","41° 52' 59.01"" S","69° 31' 59.99"" W",-41.883058,-69.533331,2027,5,97.000 Oz Au,,,Open-Pit,Gold and silver doré,Silver,"Patagonia Gold. Calcatreu Project | Patagonia Gold. Investor Presentation. October 2022 | Patagonia Gold Plc. NI 43-101 Technical Report Mineral Resource Estimate Calcatreu Gold-Silver Project, Rio Negro Province, Argentina. December 31, 2018.",41 | 42 | 43 | 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.83,6275,2.11,669,13.09,3399,1.34,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
