project_name,primary_commodity,status,deposit_type,owner_controller,operator,area_ha,resources_year,location.province,location.country,location.description,location.latitude_dms,location.longitude_dms,location.latitude,location.longitude,technical_economic.since_production,technical_economic.estimated_lom_years,technical_economic.productive_capacity,technical_economic.estimated_annual_production,technical_economic.capex,technical_economic.mining_method,technical_economic.product,by_products,sources_consulted,source_pages,res_Indicated_LCE_t,res_Indicated_Lithium_t,res_Inferred_LCE_t,res_Inferred_Lithium_t,res_M&I_LCE_t,res_Measured_LCE_t,res_Measured_Lithium_t,res_Totales_ECI_t,res_Totales_LCE_t,rsv_Probable_LCE_t,rsv_Proven_LCE_t
Cauchari - Olaroz,Lithium,,,,,,,,,,"23° 24' 58"" S","66° 42' 47"" W",-23.416111,-66.713056,,,,,,,,,"Lithium Argentina. Cauchari Olaroz Project | Lithium Argentina: NI 43 – 101 Technical report Operational Technical Report at the Cauchari-Olaroz Salars, Jujuy Province, Argentina | Lithium Argentina. Inversor presentation. January 2026 | https://investors.lithium-argentina.com/static-files/aca48412-1a3f-43db-9c3c-2695ab14dcee",7 | 8 | 9,,,4722700,,19852700,,,,,3120590,514450
Centenario-Ratones,Lithium,Operation,Brine,Eramet,Eramine Sudamerica S.A.,50000,,Salta,,"The Centenario Ratones salt flat area is located $300\mathrm{km}$ west of the city of Salta, at 3,900 m.a.s.l. The project is accessed from San Antonio de Los Cobres along provincial route 129. Pastos Grandes, is located $60\mathrm{km}$ from the project, with a population of 100 inhabitants.",,,,,2024,40,"24,000 tpa LCE",,,Pumping - Direct Lithium Extraction,Lithium Carbonate $(\mathrm{Li}_2\mathrm{CO}_3)$,,"Eramet, Centenario - Ratones Project. https://www.eramet.com/es/actividades/litio/ Eramet. Universal Registration Document, 2024 Eramet. Investor presentation. December 2025",10 | 11 | 12,6320000,,2590000,,,6210000,,,,752000,289000
Fenix,Lithium,,,,,,,Catamarca,,"Salar del Hombre Muerto is located in northwest Argentina, in the northeastern portion of Catamarca province on the border with Salta province.",,,,,1997,37,"20,000 tpa LCE | Stage 1a: 10,000 tpa LCE | Stage 1b: 10,000 tpa",,,Pumping - Evaporation + Direct Lithium Extraction (over the most recent three full calendar years),Lithium Carbonate $(\mathrm{Li}_2\mathrm{CO}_3)$ and Lithium Chloride (LiCl),,"Rio Tinto Group, Hombre Muerto Project Rio Tinto. Resources and reserves 2025 Livent USA Corp. Resource and reserve report Pre-Feasibility Study Salar del Hombre Muerto. December, 2022",13 | 14 | 15,4300000,,4700000,,,2700000,,,,4100000,1200000
Mariana,Lithium,Operation,,"Ganfeng Lithium Co., Ltd.",Litio Minera Argentina,23560,,Salta,,"The Mariana I, II and III project is located in the west of the Province of Salta in the Salar de Llullaillaco. In a straight line it is located 280 km west of the capital city of Salta.","24° 48' 36"" S","68° 18' 00"" W",-24.81,-68.3,2025,40,"20,000 tpa LiCl",,,Pumping - Evaporation,Lithium Chloride (LiCl),Potassium | borates,"Ganfeng Lithium. Mariana Project | Ganfeng Lithium. Company Presentation. April, 2025 | Ganfeng Lithium. Annual Report 2025 | Lithium Royalty Corp. Corporate Presentation. November 2025 | Ganfeng Lithium. Advisian. NI 43-101 Technical Report. Preliminary Economic Assessment of the Mariana Lithium Brine Project. Salar de Llullaillaco, Salta Province, Argentina. November 15, 2018",16 | 17 | 18,2418000,,1267000,,,4436000,,,,,
Olaroz,Lithium,Operation,Brine,"Rio Tinto Group (66,5%) Toyota Tsusho (25%) JEMSE (8,5%)",Sales de Jujuy SA,47615,,Jujuy,,"Rio Tinto is the operator and majority owner of the Olaroz lithium brines operation, located in the Northern Subbasin (referred to as Salar de Olaroz) of the Olaroz-Cauchari Salar complex in Jujuy Province of northern Argentina. The Olaroz-Cauchari Salar is located in the Puna region, 230 km west of the city of San Salvador de Jujuy in Jujuy Province of northern Argentina","23° 27' 46"" S",,-23.462778,,2015,27,"Stage 1: 17,500 tpy LCE | Stage 2: 25,000 tpy LCE for 2030",,,Pumping - Evaporation,Lithium Carbonate $(\mathrm{Li}_2\mathrm{CO}_3)$,,"Rio Tinto. Resources and reserves 2025 | Arcadium Lithium. Olaroz Project | Allkem Ltd., SEC. Technical Report Summary Olaroz Lithium Facility. June, 2023",19 | 20 | 21,8400000,,2800000,,,8500000,,,,2200000,600000
Lal de Oro,Lithium,Operation,Brine,POSCO Holdings Inc.,POSCO Argentina S.A.,25000,,Buenos Aires,,"The Sal de Oro project is located about 1,400 km northwest of Buenos Aires, Argentina, at an altitude of 4,025 m.a.s.l. It is located east of Salar de Hombre Muerto, in the provinces of Catamarca (Antofagasta Dept.) and Salta.","25° 13' 12"" S","67° 04' 12"" W",-25.22,-67.07,2024,40,"Stage 1: 25,000 tpa lithium hydroxide | Stage 2: expansion of at least 23,000 tpy LCE",,,Pumping - Evaporation - Direct Lithium Extraction,Lithium Hydroxide - Lithium Carbonate,Potassium,Posco Argentina. Sal de Oro project,22 | 23 | 24,,,,,,,,,,881200,158000
Lives Quebradas,Lithium,Operation,Brine,Zijin Mining Company,LIEX S.A.,26680,,Catamarca,,"It is located Salar de Laguna Verde, in the Municipality of Fiambalá, 30 km from the border with Chile, 200 km from the Caldera port (Chile), 90 km north of the place Cortaderas, about 4,100 m.a.s.l.","27° 27' 00"" S","68° 39' 36"" W",-27.45,-68.66,2025,50,"Stage 1: 20,000 tpy LCE | Stage 2: 40,000 tpy LCE",,,Pumping - Evaporation,Lithium Carbonate (Li₂CO₃),Potassium,"Zijin Mining Group Ltd. Tres Quebradas Project NEO Lithium Corp. Feasibility Study (FS) - 3Q Project NI 43-101 Technical Report Catamarca, Argentina. November 25, 2021",25 | 26 | 27,,,2329900,,5966191,,,,,587600,990491
Hombre Muerto Oeste,Lithium,Construction,Brine,Galan Lithium Limited,Galan Litio S.A,9493,,Catamarca,,"The project is in the geological province of Puna, 90 km north of the town of Antofagasta de la Sierra, province of Catamarca. The HMW Project is located to the West and South of the Salar del Hombre Muerto.",,,,,2026,40,"Stage1: 5,400 tpa LCE | Stage 2: HMW mining permit has been granted at a commercial scale up to 21,000 tpa LCE.",,,Pumping - Evaporation,Lithium Chloride concentrate (LiCl),Potassium,"Galan Lithium Limited. Hombre Muerto West Project | Galan Lithium Limited. Euroz Harleys Research – February 2025 | Galan Lithium Limited. Annual Report, June 30, 2025 | Galan Lithium Limited. Compelling Preliminary Economic Assessment Results for 100% owned Hombre Muerto West (HMW) Project in Catamarca, Argentina. December 21, 2020. | Argosy Minerals Ltd., Rincón Project | Argosy Minerals Ltd., Company presentation. July 2025. | Argosy Minerals Limited., Annual report 2024. | Argosy Minerals Ltd., PEA Results Rincón Lithium Project. November 2018.",28 | 29 | 30 | 31 | 32 | 33,640330,,91471,,,4738000,,,,861.5,884
Lal de los Ángeles,Lithium,Construction,Brine,"Revotech Asia Ltd. (46%) Xizang Zhufeng Resources Co.(45%), Leading Resources Global Ltd. (9%)",Potasio y Litio Argentina S.A.,8156.5,,Salta,,"The Sal de Los Ángeles project is located in the Salar Diablillos, a saline body located in the Los Andes Department, in Salta, at 3,760 m.a.s.l.","25° 14' 40"" S","66° 44' 53"" W",-25.244444,-66.748056,2028,20,"Stage 1: 10,000 tpa LCE | Stage 2: 20,000 tpa LCE",,e. 500 MUSD,Pumping - Evaporation,Lithium Carbonate $(\mathrm{Li}_2\mathrm{CO}_3)$,Potassium,"Lithium X. Sal de los Ángeles Project | P.L.A.S.A. Litio Angeles Argentina Project | Lithium X. Investor presentation | Lithium X. Technical Report Resource Estimate for Lithium &amp; Potassium Sal de los Angeles Project, February 2017 | Xizang Zhufeng. Sal de los Ángeles Project | Evolve Royalties. Inversor Presentation, December 2025",34 | 35 | 36,1037240,,1006739,,,,,,,,
Lal de Vida,Lithium,Construction,Brine,Rio Tinto Group,Galaxy Lithium Sal de Vida S.A.,26253,,Catamarca,,"The project is located approximately 200 km south of Olaroz, Rio Tinto's operating mine in the high-altitude Puna ecoregion of the Altiplano of northwest Argentina at approximately 4,000 m above sea level. Sal de Vida is within SdHM in the Province of Catamarca","25° 24' 33.71"" S","66° 54' 44.73"" W",-25.409364,-66.912425,2026,40,"Stage 1: 15,000 tpa LCE | Stage 2: expanded 30,000 tpa LCE",,Stage 1: 660 MUSD,Pumping - Evaporation,"Lithium Carbonate (Li₂CO₃), Potassium Chloride (KCl)",Potassium,"Arcadium lithium. Sal de Vida Project | Rio Tinto Group. Resources and reserves 2025 | Allkem Ltd., Sal de Vida Lithium Brine Project. NI 43-101 Technical Report, Feasibility Study. 27 October 2023.",37 | 38 | 39,3000000,,700000,,,3500000,,,,2038709,400000
